"","Price","Sqft","Bed","Bath","Air","Garage","Pool","Year","Quality","Style","Lot","Highway"
"120",367000,2940,4,7,1,2,0,1988,1,7,22003,0
"143",338000,2655,3,3,1,2,0,1948,2,1,21960,0
"115",500000,3644,3,4,1,3,0,1984,1,7,21895,0
"73",920000,3857,4,5,1,3,0,1997,1,1,32793,0
"156",296000,1778,2,2,1,2,0,1991,2,7,24022,0
"86",609000,2654,5,3,1,3,0,1997,1,1,12821,0
"117",545500,3233,4,4,1,3,0,1991,1,7,22961,0
"61",244000,2081,4,2,1,2,0,1980,2,3,24993,1
"101",610000,3251,3,4,1,3,1,1985,1,1,25570,0
"131",336000,3301,3,4,1,2,0,1977,1,3,18741,0
"15",299900,2090,3,3,1,2,0,1987,2,1,24025,0
"104",545000,4973,6,6,1,3,1,1987,1,7,56139,0
"46",177500,1820,3,2,1,2,0,1960,3,1,22104,0
"106",629000,3139,6,4,1,2,1,1977,1,1,21810,0
"162",318500,2449,4,4,1,2,0,1985,2,3,22075,0
"33",154000,2208,2,2,1,2,0,1985,2,7,6746,0
"11",190000,2812,7,5,0,2,1,1966,3,7,56639,0
"90",585444,3455,4,5,1,3,0,1995,1,7,22468,0
"135",515000,2950,5,3,1,2,0,1969,2,1,21598,0
"67",188700,1748,3,2,1,2,0,1972,3,1,23939,1
"138",489500,2866,4,4,0,2,0,1982,2,7,22424,0
"113",612000,3917,6,5,1,3,0,1995,1,7,37972,0
"142",390000,2225,2,3,1,3,0,1997,2,1,38722,0
"27",229000,2164,4,2,1,2,0,1965,2,1,28291,0
"157",387500,2412,2,3,1,3,0,1986,2,3,22676,0
"4",205500,1638,4,2,1,2,0,1963,2,1,17342,0
"60",165000,2087,2,2,1,2,0,1966,2,1,24764,1
"55",155000,2562,3,2,0,2,0,1885,3,7,40800,0
"134",440000,2821,5,4,1,2,1,1962,2,1,32914,0
"13",535000,3381,5,4,1,3,0,1988,1,7,23172,0
"43",135000,1388,2,1,0,2,0,1951,3,1,26106,0
"168",325000,2638,4,3,1,2,0,1978,2,3,25747,0
"124",400000,2537,3,3,1,2,0,1993,1,1,11053,0
"78",665000,4746,4,4,1,3,0,1996,1,7,23368,0
"38",182000,2616,5,3,0,2,0,1955,3,5,11123,0
"5",275500,2196,4,3,1,2,0,1968,2,7,21786,0
"105",335000,2582,4,3,1,2,0,1966,1,2,23256,0
"128",500000,3836,5,4,1,3,0,1982,1,5,48465,0
"167",400000,2631,4,4,0,2,0,1985,2,7,44885,0
"100",595000,2479,4,4,1,3,0,1989,1,1,29805,0
"149",430000,3076,6,4,1,3,0,1984,2,7,26648,0
"155",395000,4150,4,3,0,3,0,1934,2,7,21778,0
